factset_entity_id,vendor_id
0981XB-E, 139220520
09V1F5-E, 142900958
0GXHQN-E, 152044523
08TW8L-E, 298707546
0CWC8S-E, 63225716
0D2052-E, 41113306
05PLS1-E, 49860858
07PV9X-E, 53556853
080VMZ-E, 52290857
07XFN7-E, 29234332
08H89V-E, 21834201
05WV09-E, 38738469
0GWM0W-E, 49769961
07PBB1-E, 31571408
0BG54H-E, 49910604
07QDLW-E, 24670518
061897-E, 49910570
074B6Y-E, 63208504
05PH3K-E, 25827883
0055B1-E, 49910749
0C0TKC-E, 142802701
07XFJQ-E, 156253199
0CDFSF-E, 202499685
0868Z5-E, 38393665
097MKF-E, 146582269
060PRL-E, 51957764
080QDW-E, 60999962
05LJ6M-E, 178660416
07S6YQ-E, 152044523
07XJ1S-E, 21533662
06D5JD-E, 24225544
0F7M0X-E, 195351083
0GRTWV-E, 152044523
083TCB-E, 57674688
0H30BX-E, 146610345
0DYMJG-E, 142849303
07R74K-E, 51162011
07Q6ZZ-E, 55240451
064RMM-E, 23207739
08406Y-E, 144145481
07XKVW-E, 52719731
0CQ8N6-E, 136317904
09SLQ8-E, 30315046
00FBBZ-E, 303801538
09T701-E, 142964830
07PC5M-E, 49864843
07QSL5-E, 55246454
05J5JP-E, 178411797
0FCT0T-E, 156278948
0DJ9JF-E, 39957373
07XQ03-E, 27635936
07V090-E, 32406767
06SD4B-E, 63208979
07YV2X-E, 156290641
066CC7-E, 62540559
002VYV-E, 19889383
09WGBL-E, 147043952
085PD2-E, 156182554
08WJBJ-E, 22588754
0F1V4S-E, 49910789
08X07Q-E, 24351173
071GLL-E, 38912053
0HHP98-E, 143001424
07XGCF-E, 29244855
0794XF-E, 300167384
00768H-E, 299266338
0G8WRH-E, 49809662
0F8N00-E, 141293885
06170J-E, 23238306
07XCJ7-E, 63226784
07TR2T-E, 63209493
09V0Z3-E, 142953031
09L9MK-E, 40203343
096YHM-E, 47202097
09FF6W-E, 36505113
064VWB-E, 33870754
05PM3R-E, 51468257
07R97N-E, 46118361
07R8ZT-E, 178917981
09L9K4-E, 156327325
07VP3D-E, 156192456
006XR9-E, 34056416
07PWDT-E, 49766942
0F67KS-E, 49762235
07W3QH-E, 142852455
0824T8-E, 146753727
07V00R-E, 57281742
09TY83-E, 142815772
0D239T-E, 144451076
07QBWN-E, 48097205
06LFVL-E, 156221453
0DB5PX-E, 19886793
09T7LL-E, 142816568
05V14S-E, 156358782
0GB4D8-E, 29312275
06S89V-E, 289423819
0BXT59-E, 49862599
000NYC-E, 25760562
07XFJS-E, 23250947
0F7M81-E, 199710911
0FTRPM-E, 19883974
0FST5H-E, 265938019
075Z3Z-E, 156252716
0DJ3PM-E, 49856976
07V84J-E, 151315330
08887V-E, 138511692
0881KH-E, 49896568
07W0DP-E, 49910704
07V2QN-E, 21643384
0FBJ24-E, 142858923
005PDF-E, 142852455
08HCRP-E, 21342413
061864-E, 52721194
0GZB11-E, 323947509
001R0Z-E, 49910749
0882DF-E, 278217908
0041QG-E, 178917981
0672R0-E, 142830528
0DSWV0-E, 19883974
0DYMZR-E, 18947538
08GZ92-E, 142904980
06W14G-E, 156296105
0F125F-E, 142169937
0DZMWV-E, 146575893
07WB6T-E, 324235093
09M8LS-E, 144176560
05LJNS-E, 29966137
0HB281-E, 19889595
0B607P-E, 49769961
072P5B-E, 19883974
07VM0G-E, 49865992
0DKSL7-E, 292354911
064VPY-E, 63208504
09334M-E, 25811540
000P03-E, 49809662
07QB0S-E, 44551575
061875-E, 30402604
0F63HX-E, 63221103
05LJ2X-E, 27499488
08GP9S-E, 141293885
07TZNJ-E, 51821297
0CJVQW-E, 195369288
087Z8S-E, 156221453
0742CN-E, 314001624
07R8HZ-E, 156250564
07XKHP-E, 47214560
0BG8XZ-E, 22724898
07XG6D-E, 33905886
0DX22T-E, 142848003
07VC7B-E, 43852625
0CPXB5-E, 142896524
07RKV5-E, 156218197
00DFT4-E, 156251392
083SMR-E, 55247130
07VQXS-E, 49803513
0728PL-E, 48336112
0881K9-E, 156343973
0936XN-E, 156222111
07XJNK-E, 25799552
00BJW7-E, 156247868
061711-E, 178800004
0D6BXQ-E, 156244193
06W1ST-E, 142902320
00282T-E, 178398311
0082N0-E, 152044523
05PJCJ-E, 51271908
08T9WP-E, 19884365
061LDG-E, 142998339
0CSTJ5-E, 19887278
07XHNW-E, 179078368
08GS6F-E, 27499488
0B10RS-E, 49846205
0BJPMP-E, 39958782
000P1V-E, 156187539
07V0MC-E, 54648984
070PT3-E, 60178522
07V479-E, 59188859
0GR0F8-E, 311855771
07T7WC-E, 196011756
0FN6ZY-E, 156319134
07XKC8-E, 156296527
0D6YV3-E, 51028785
0DBHCH-E, 156314972
09V5HS-E, 142875483
0DP2Q0-E, 156185802
09T5P8-E, 38393665
0706SL-E, 49762235
07VQ4N-E, 49567149
086FTZ-E, 38579280
07V78T-E, 32406767
07PB8G-E, 27777048
0BFRDH-E, 51028785
064V8B-E, 56884613
07XDR6-E, 49809662
07ZL1Z-E, 18947538
07TZKT-E, 49907447
07PVV6-E, 19889383
0D28JT-E, 41260275
05PL2M-E, 29973348
075ZBF-E, 22225554
07D4QG-E, 38393665
062QYV-E, 198775294
07ZL8T-E, 138945405
0B85TC-E, 29182994
070SL2-E, 49809662
07XGB8-E, 134807929
0DRTM6-E, 156372092
06DNCV-E, 30498879
083M40-E, 156331362
088MNG-E, 143003104
0D0Q5G-E, 277730631
07V4T5-E, 52811335
0F2Y61-E, 41260275
07QD0Q-E, 63202487
08VW5J-E, 194224948
061877-E, 53301652
085XLY-E, 23457572
0FS13T-E, 19889383
07PW41-E, 49910749
07CQWB-E, 179517239
080GY7-E, 32229289
07ZNY0-E, 19889383
07TYLW-E, 19883902
07XGV6-E, 156251392
07BSMK-E, 39957373
09T75M-E, 142801563
05YQC4-E, 178652267
080237-E, 279187742
0FK490-E, 137841979
09XG33-E, 142821528
07V1GH-E, 47221196
09L9MG-E, 56790255
07YYRZ-E, 286225618
085J71-E, 33100005
07PB8X-E, 174896366
0DWBFV-E, 19889527
0D7MZ9-E, 319240256
09T8P7-E, 146706170
08GX5L-E, 26480010
05LHRP-E, 40851331
08JFQP-E, 298707546
083KVH-E, 49809662
0B52JK-E, 142879586
089Q1N-E, 304234036
067158-E, 142919627
09XBY5-E, 142800691
00G54D-E, 143593253
0066S1-E, 142893566
09T6BS-E, 142874243
0DB5C8-E, 49856976
0887H5-E, 60859192
0F7M3N-E, 298707546
072C8P-E, 27010414
0DC2X5-E, 49004268
06MKHD-E, 156361816
07626B-E, 49910749
085W66-E, 178565806
0DPMT7-E, 49852687
06LBVP-E, 49860858
05PGDQ-E, 47069573
0CZN4R-E, 24499633
0DVF7B-E, 57568774
0D9WKD-E, 275971729
07V7M5-E, 156372053
093MWW-E, 138709536
05PGZ1-E, 178469600
09T8ZV-E, 146731677
085YJB-E, 38393665
000P2Y-E, 156350805
08HDCL-E, 21834201
05PJL9-E, 63205522
05PJH3-E, 298707546
0C9ZWN-E, 282968414
0D5D4N-E, 138940868
0H46SL-E, 19883902
09V193-E, 142804270
001GR3-E, 44551575
07XKKQ-E, 156181901
079P3S-E, 49910704
05LJFK-E, 46599723
079LFX-E, 173023099
09LYH4-E, 142935582
07XK0Y-E, 63199397
071Z0C-E, 142688904
0D209K-E, 44551575
08H1YP-E, 153411796
00421B-E, 146884946
0DHD84-E, 49760854
0FZPMG-E, 19883974
0B11F3-E, 156271760
000NY8-E, 156234212
07PWHM-E, 33979071
0064GC-E, 31685668
0C9230-E, 19889383
06XTMS-E, 19888201
07QD6L-E, 46118361
0B0TD8-E, 139699304
06P9LW-E, 156272116
09T7Y5-E, 142919627
0FCZY0-E, 194224948
075ZBS-E, 156349535
0DDY4T-E, 142905553
06WG93-E, 142873997
0BBDL8-E, 31677956
07FF5Q-E, 21641337
087Y3R-E, 156241502
05XCP5-E, 142953031
072G32-E, 142852455
0B0C2L-E, 39957373
0H77Q4-E, 22947920
07R9GS-E, 19889383
07XLP6-E, 27812562
0F440K-E, 298707546
09T5FL-E, 142801205
083B7K-E, 19883974
07T6VQ-E, 178828611
092ZVW-E, 195351083
0FBSP2-E, 138586019
0F4Z46-E, 19155514
003MGD-E, 156324430
0932LL-E, 298707546
0F6TR7-E, 20483158
07M0JZ-E, 286930282
07XK0X-E, 49772188
005PVK-E, 19883902
06L2D7-E, 156353868
06Z54L-E, 18947538
07W542-E, 142827729
0B7ZWG-E, 49682225
05MYF6-E, 178740718
07ZNTN-E, 49910749
07PB44-E, 49030180
05TD17-E, 58975176
07PC5D-E, 22225554
0GRNCN-E, 49809662
0F4Z2T-E, 156222111
07QCBC-E, 179403722
05LJ30-E, 146751037
07VS7Y-E, 46926335
0881KN-E, 49000253
0B1PWW-E, 63227121
0F2Y76-E, 29141761
05PKQ9-E, 142800510
06XJ00-E, 49910704
0CC8M8-E, 156351820
07V3DS-E, 44551575
0FL95H-E, 49809662
0B1KBD-E, 57198716
05N765-E, 19889383
0DKMFX-E, 146870633
0F4JVL-E, 156222111
07TYP9-E, 145276520
07QYKP-E, 156358782
064P56-E, 52169862
0FYLPN-E, 142970041
0DZ09C-E, 56227737
0FCS7H-E, 308538129
06FKTQ-E, 142977763
064WBL-E, 142991413
05LJ63-E, 156276396
07XHG1-E, 57932521
064RYW-E, 55266723
07XJ50-E, 21621829
004D7M-E, 57281259
0869ZZ-E, 178565806
07TZFX-E, 156182387
0GGSFH-E, 136785136
06MF6Q-E, 20313411
09T75Q-E, 146713510
07TK97-E, 49807645
003CXD-E, 142852455
07XJSM-E, 58133468
001D11-E, 39957373
0D141Q-E, 156358782
07WB9N-E, 49910704
06Y78S-E, 178917981
0748ZK-E, 23390306
0GCGR6-E, 303082274
06ZFK9-E, 142997259
0BRZ6P-E, 146709170
00193K-E, 35325031
07NTTC-E, 134807929
07XHST-E, 286642406
07ZNXC-E, 156358782
0F50J0-E, 19215188
0614WV-E, 156302464
09SK58-E, 49910704
07N1BV-E, 142852455
0F67LP-E, 195351083
0949K8-E, 51468257
085HMJ-E, 54387874
0DGQ7H-E, 176990188
07CP29-E, 156246437
0F49W2-E, Long Hauling & Excavation Inc DBA Longscape Services"
07QCND-E, 237379171
061869-E, 23941152
0G5JXT-E, 146904238
07VKLL-E, 21773687
083VTM-E, 303996338
07V1MS-E, 36540110
08HBHL-E, 298707546
07RLPQ-E, 156353571
05PKVB-E, 57277680
06VKQZ-E, 145077172
0F5LV5-E, 298707546
085CC9-E, 178474871
0GV8H2-E, 142885733
0D6TF0-E, 32406767
00CZ0R-E, 156351506
072TTP-E, 57274350
0BKJL5-E, 49896568
09T8RF-E, 146885453
07XLZR-E, 179241298
07XJCD-E, 60999962
083QD0-E, 39957373
00299B-E, 178917981
05LHXM-E, 49865827
0BQHQX-E, 33330048
0C7PVX-E, 49215680
06TX5H-E, 47164479
093DDW-E, 19215188
0C6F6R-E, 19889383
0HDKJS-E, 155922578
001KCY-E, 142953031
05LJJ3-E, 156229199
07DM6Q-E, 54190435
09Y7H7-E, 156241409
07T7GF-E, 156279512
05ZTZT-E, 49760854
05PGSC-E, 27499488
07WB13-E, 51028785
05Z8P8-E, 142800510
06M1XP-E, 19884365
07QDQX-E, 22949661
063D12-E, 34203564
0DJCW9-E, 19883974
07536K-E, 49910749
09K6Z1-E, 63216139
0B1GNK-E, 156362168
073H0B-E, 156276809
06PJWN-E, 60715018
07V0V1-E, 49774554
07DKF2-E, 40850206
083Q4X-E, 49890184
094RD8-E, 156342731
07XMZ0-E, 156243010
0B1JX5-E, 22000401
0D4C0C-E, 51028785
09PGG5-E, 178917981
093LCH-E, 153411796
0D9V34-E, 32997646
07W0K2-E, 49809662
0G5MD2-E, 41601598
08TY1H-E, 298707546
06W2C3-E, 145758627
07ZNRL-E, 20326563
0F4PXQ-E, 27499488
09T8H6-E, 142831171
0B95BT-E, 22588754
05PKVQ-E, 298707546
07TMJJ-E, 156336906
06NDYY-E, 47474714
05LJ54-E, 142902320
064VT7-E, 49905136
006B76-E, 156347618
07VN1N-E, 139369926
05MX9C-E, 39577711
07XFBP-E, 49896568
087YYN-E, 156351820
0F8X4K-E, 26128003
07M7P1-E, 156335815
08HCB1-E, 298707546
07XDZX-E, 49809662
05L3DL-E, 142852455
0CVMTC-E, 48999772
07T86Z-E, 39178930
004S37-E, 51762394
0D2CDW-E, 142803824
05W85K-E, 139293414
0H25QM-E, 19886944
07THJC-E, 156355794
060HSY-E, 156352707
07R91N-E, 29275240
08WXFV-E, 197475313
0029BQ-E, 152044523
07KJRH-E, 142801829
07QSS9-E, 32406767
0C174R-E, 57288154
0DHWRM-E, 142953031
061825-E, 199629063
0DRXT3-E, 21716563
08TKYM-E, 24351173
09FDCW-E, 195351083
00953S-E, 19889383
086F76-E, 32406767
07V5GG-E, 34286209
0GSBDZ-E, 52032553
0G09QY-E, 156251392
09T644-E, 142832327
0BK4Q7-E, 142807041
07XGTJ-E, 31134041
05PLXM-E, 21066813
0DVYJ6-E, 51821297
07NYDV-E, 178917981
07TTC5-E, 156178498
07VC7Y-E, 61157941
07XJQG-E, 195331458
0832RG-E, 63217228
07VV53-E, 156358117
085QW9-E, 283828581
07V9NY-E, 21936528
093JP9-E, 21342413
0FT4B8-E, 49774698
07VBJG-E, 156366295
07VNQ6-E, 46121842
05PKFD-E, 153411796
07W3FV-E, 49809662
0F67QB-E, 27499488
09X8GB-E, 274980481
07T6T9-E, 26238042
097BJX-E, 36505113
06927C-E, 54033632
08V2TS-E, 138709536
0019PR-E, 56161960
0998HC-E, 56531571
085JKH-E, 178917981
0B4FT7-E, 56971176
0FN253-E, 55020173
